b'win',b'lose',b'probability'
Los Angeles Clippers,Brooklyn Nets,0.853937104366
Charlotte Hornets,Detroit Pistons,0.667299808495
Cleveland Cavaliers,Milwaukee Bucks,0.849064857955
New Orleans Pelicans,Los Angeles Lakers,0.753745107635
San Antonio Spurs,Orlando Magic,0.911676710281
Utah Jazz,Houston Rockets,0.586357178982
Boston Celtics,Detroit Pistons,0.672355830387
Chicago Bulls,Los Angeles Lakers,0.870600378553
San Antonio Spurs,Dallas Mavericks,0.76315318257
Miami Heat,Denver Nuggets,0.678128711196
Minnesota Timberwolves,New York Knicks,0.592934263281
Oklahoma City Thunder,Washington Wizards,0.822188808351
Atlanta Hawks,Phoenix Suns,0.788018644916
Portland Trail Blazers,Indiana Pacers,0.535835170086
Toronto Raptors,Memphis Grizzlies,0.833909321823
Milwaukee Bucks,Brooklyn Nets,0.606698587197
Charlotte Hornets,Dallas Mavericks,0.697710690127
Cleveland Cavaliers,Los Angeles Clippers,0.739583047946
Golden State Warriors,Houston Rockets,0.895337386857
Memphis Grizzlies,Orlando Magic,0.589934675579
Miami Heat,Utah Jazz,0.501209113397
Atlanta Hawks,Detroit Pistons,0.669448166671
Boston Celtics,Sacramento Kings,0.79383633152
Cleveland Cavaliers,Chicago Bulls,0.723910563832
Houston Rockets,Denver Nuggets,0.596625121772
Los Angeles Clippers,New Orleans Pelicans,0.748544822601
New York Knicks,Minnesota Timberwolves,0.570158567662
Orlando Magic,Philadelphia 76ers,0.781362944302
San Antonio Spurs,Washington Wizards,0.872857783773
Toronto Raptors,Los Angeles Lakers,0.942585568436
Charlotte Hornets,Minnesota Timberwolves,0.798754608024
Dallas Mavericks,Chicago Bulls,0.636001822021
Golden State Warriors,Phoenix Suns,0.966978403562
Memphis Grizzlies,Los Angeles Lakers,0.819145294425
Milwaukee Bucks,Brooklyn Nets,0.726371031195
Boston Celtics,Philadelphia 76ers,0.894911937049
Portland Trail Blazers,Miami Heat,0.502137416982
Toronto Raptors,Atlanta Hawks,0.681026238046
Utah Jazz,Denver Nuggets,0.723855705142
Detroit Pistons,Orlando Magic,0.694642017326
Los Angeles Clippers,Indiana Pacers,0.683460159228
New York Knicks,Sacramento Kings,0.557078709629
Oklahoma City Thunder,New Orleans Pelicans,0.907691498293
Oklahoma City Thunder,Atlanta Hawks,0.595184591
Washington Wizards,Brooklyn Nets,0.75230695855
Portland Trail Blazers,Chicago Bulls,0.629870539347
Charlotte Hornets,Dallas Mavericks,0.519215686934
Golden State Warriors,Indiana Pacers,0.87299829147
Boston Celtics,Houston Rockets,0.511712711593
Utah Jazz,Los Angeles Lakers,0.768235483184
San Antonio Spurs,Milwaukee Bucks,0.878521598489
Memphis Grizzlies,New Orleans Pelicans,0.516507279885
Denver Nuggets,Philadelphia 76ers,0.758118193049
Cleveland Cavaliers,Toronto Raptors,0.517964661931
Detroit Pistons,Chicago Bulls,0.640018047046
Memphis Grizzlies,Philadelphia 76ers,0.873885026441
Miami Heat,New York Knicks,0.827945126117
San Antonio Spurs,Minnesota Timberwolves,0.872466733997
Utah Jazz,Phoenix Suns,0.829131144556
Washington Wizards,Orlando Magic,0.678056504939
Atlanta Hawks,Miami Heat,0.595226152853
Denver Nuggets,Brooklyn Nets,0.639202016286
Charlotte Hornets,Detroit Pistons,0.667299808495
Dallas Mavericks,Sacramento Kings,0.714364796741
Houston Rockets,Los Angeles Lakers,0.877429763039
Golden State Warriors,Los Angeles Clippers,0.680324208865
Portland Trail Blazers,Milwaukee Bucks,0.784992934265
Cleveland Cavaliers,New York Knicks,0.832881792446
Boston Celtics,Orlando Magic,0.629386368051
Indiana Pacers,Phoenix Suns,0.754412836799
San Antonio Spurs,Chicago Bulls,0.771210969619
Portland Trail Blazers,Memphis Grizzlies,0.716541731711
New Orleans Pelicans,Philadelphia 76ers,0.824027251028
Toronto Raptors,Minnesota Timberwolves,0.860181573788
Golden State Warriors,Utah Jazz,0.801354357838
Washington Wizards,Denver Nuggets,0.706011560146
Toronto Raptors,Boston Celtics,0.505709731304
Charlotte Hornets,Orlando Magic,0.770862672421
Cleveland Cavaliers,Miami Heat,0.780608415712
Dallas Mavericks,Indiana Pacers,0.525550390408
Los Angeles Lakers,Phoenix Suns,0.501338652574
Atlanta Hawks,Milwaukee Bucks,0.710312812419
Detroit Pistons,Minnesota Timberwolves,0.614334995022
Oklahoma City Thunder,Houston Rockets,0.810852246177
Sacramento Kings,New York Knicks,0.634355342663
Miami Heat,Chicago Bulls,0.5194559113
Cleveland Cavaliers,Charlotte Hornets,0.772953019722
Houston Rockets,Dallas Mavericks,0.609371658309
Portland Trail Blazers,Indiana Pacers,0.56657226035
Los Angeles Clippers,New Orleans Pelicans,0.86040475313
Golden State Warriors,Memphis Grizzlies,0.865706392293
Orlando Magic,Denver Nuggets,0.61537223001
San Antonio Spurs,Brooklyn Nets,0.964923126894
Utah Jazz,Sacramento Kings,0.720025538966
Washington Wizards,Milwaukee Bucks,0.733907240922
Detroit Pistons,Philadelphia 76ers,0.916366430555
New York Knicks,Los Angeles Lakers,0.602814573281
Golden State Warriors,Minnesota Timberwolves,0.898036227174
Oklahoma City Thunder,Boston Celtics,0.744742009931
New Orleans Pelicans,Phoenix Suns,0.518329605169
Dallas Mavericks,Denver Nuggets,0.71824210015
Houston Rockets,Brooklyn Nets,0.85835153235
Indiana Pacers,Charlotte Hornets,0.535381972457
Los Angeles Clippers,Portland Trail Blazers,0.54509800281
Miami Heat,Washington Wizards,0.698218561133
Sacramento Kings,Los Angeles Lakers,0.797917699915
Toronto Raptors,Milwaukee Bucks,0.872265722468
Atlanta Hawks,Orlando Magic,0.772570210839
Chicago Bulls,Minnesota Timberwolves,0.716008040419
Cleveland Cavaliers,Memphis Grizzlies,0.887815167777
Golden State Warriors,New Orleans Pelicans,0.905115113102
New York Knicks,Phoenix Suns,0.523873714049
Oklahoma City Thunder,Portland Trail Blazers,0.681897046468
Brooklyn Nets,Los Angeles Lakers,0.609148222148
Dallas Mavericks,Detroit Pistons,0.571342557892
Houston Rockets,Sacramento Kings,0.717804442645
Cleveland Cavaliers,Memphis Grizzlies,0.795703312995
Miami Heat,Indiana Pacers,0.632838424788
Los Angeles Clippers,Orlando Magic,0.673479884381
Toronto Raptors,Philadelphia 76ers,0.92639018922
San Antonio Spurs,Boston Celtics,0.812445851491
Oklahoma City Thunder,Utah Jazz,0.684793593728
Charlotte Hornets,Washington Wizards,0.534089025511
Portland Trail Blazers,Denver Nuggets,0.768343971333
Golden State Warriors,New York Knicks,0.950473544775
Chicago Bulls,Milwaukee Bucks,0.562276493481
Indiana Pacers,New Orleans Pelicans,0.674896621721
San Antonio Spurs,Phoenix Suns,0.916416411057
Boston Celtics,Charlotte Hornets,0.587739419006
Chicago Bulls,Milwaukee Bucks,0.73673915443
Houston Rockets,New Orleans Pelicans,0.762809695393
Memphis Grizzlies,Sacramento Kings,0.616767833446
Miami Heat,Los Angeles Clippers,0.545861509309
Orlando Magic,Brooklyn Nets,0.789005214258
Los Angeles Lakers,Philadelphia 76ers,0.531646271699
Toronto Raptors,Atlanta Hawks,0.681026238046
Utah Jazz,Dallas Mavericks,0.611984864936
Washington Wizards,Detroit Pistons,0.556671314256
Atlanta Hawks,Charlotte Hornets,0.584544834255
Cleveland Cavaliers,Los Angeles Lakers,0.962793519186
Denver Nuggets,New York Knicks,0.602662687148
Detroit Pistons,Indiana Pacers,0.529884480164
Golden State Warriors,Portland Trail Blazers,0.792308561188
Houston Rockets,Minnesota Timberwolves,0.606323903133
Oklahoma City Thunder,Phoenix Suns,0.936202219843
Dallas Mavericks,Sacramento Kings,0.714364796741
Utah Jazz,Memphis Grizzlies,0.523229188323
Miami Heat,Boston Celtics,0.593473740701
Toronto Raptors,Orlando Magic,0.71507792573
Brooklyn Nets,Philadelphia 76ers,0.572828766719
San Antonio Spurs,New Orleans Pelicans,0.935895357343
Los Angeles Clippers,Washington Wizards,0.578794513029
Chicago Bulls,Detroit Pistons,0.560259278181
Dallas Mavericks,Denver Nuggets,0.570694609405
Indiana Pacers,Washington Wizards,0.649165281543
Minnesota Timberwolves,Phoenix Suns,0.689689882563
Oklahoma City Thunder,Atlanta Hawks,0.740024553935
Charlotte Hornets,Los Angeles Lakers,0.91373060563
Golden State Warriors,Utah Jazz,0.897824738462
San Antonio Spurs,Houston Rockets,0.760081535916
Los Angeles Clippers,Denver Nuggets,0.832463355038
Boston Celtics,Memphis Grizzlies,0.623540818706
Miami Heat,Orlando Magic,0.776718447561
Cleveland Cavaliers,Milwaukee Bucks,0.849064857955
Indiana Pacers,New York Knicks,0.642233900268
New Orleans Pelicans,Philadelphia 76ers,0.716450290094
Portland Trail Blazers,Sacramento Kings,0.743570279892
Toronto Raptors,Brooklyn Nets,0.932873057892
Atlanta Hawks,Minnesota Timberwolves,0.800308138796
Chicago Bulls,Washington Wizards,0.587003145004
Cleveland Cavaliers,Milwaukee Bucks,0.91499176706
Detroit Pistons,Memphis Grizzlies,0.686550979975
Oklahoma City Thunder,New Orleans Pelicans,0.837059053933
Houston Rockets,Phoenix Suns,0.711680991827
Portland Trail Blazers,Dallas Mavericks,0.615158734609
Utah Jazz,Sacramento Kings,0.720025538966
Golden State Warriors,Brooklyn Nets,0.949326590785
Indiana Pacers,Boston Celtics,0.538644632846
San Antonio Spurs,Los Angeles Clippers,0.62307404243
Miami Heat,Los Angeles Lakers,0.916331569541
New York Knicks,Orlando Magic,0.529256071177
Oklahoma City Thunder,Boston Celtics,0.592007650139
Charlotte Hornets,Chicago Bulls,0.724465118152
Cleveland Cavaliers,Brooklyn Nets,0.956341148344
Atlanta Hawks,Denver Nuggets,0.690163508554
Golden State Warriors,Detroit Pistons,0.803023700739
Los Angeles Clippers,Dallas Mavericks,0.749356226442
Houston Rockets,Memphis Grizzlies,0.529916805291
Washington Wizards,Milwaukee Bucks,0.601507939102
Minnesota Timberwolves,Sacramento Kings,0.540852767103
Miami Heat,New Orleans Pelicans,0.703798777049
Orlando Magic,Los Angeles Lakers,0.815414961947
Phoenix Suns,Philadelphia 76ers,0.759876572199
San Antonio Spurs,Portland Trail Blazers,0.755607952748
Toronto Raptors,Utah Jazz,0.605027691864
Golden State Warriors,Cleveland Cavaliers,0.530145590769
Los Angeles Clippers,Los Angeles Lakers,0.858680875626
Boston Celtics,New York Knicks,0.679427447479
Oklahoma City Thunder,Minnesota Timberwolves,0.891330397568
San Antonio Spurs,Chicago Bulls,0.889712939218
Charlotte Hornets,Brooklyn Nets,0.829849564977
Chicago Bulls,Indiana Pacers,0.514289655093
Cleveland Cavaliers,Detroit Pistons,0.711244638435
Houston Rockets,Phoenix Suns,0.827568322247
Los Angeles Clippers,Denver Nuggets,0.832463355038
Atlanta Hawks,Minnesota Timberwolves,0.698748844641
Dallas Mavericks,New Orleans Pelicans,0.599877277058
Orlando Magic,Memphis Grizzlies,0.57464947104
Toronto Raptors,Portland Trail Blazers,0.601824350823
Sacramento Kings,Philadelphia 76ers,0.857968407437
Washington Wizards,Milwaukee Bucks,0.733907240922
Boston Celtics,Memphis Grizzlies,0.768201306626
Dallas Mavericks,Houston Rockets,0.579571899689
Utah Jazz,Los Angeles Lakers,0.768235483184
Oklahoma City Thunder,Miami Heat,0.58944641197
Atlanta Hawks,New York Knicks,0.824533604948
Chicago Bulls,Brooklyn Nets,0.850640093561
Denver Nuggets,Minnesota Timberwolves,0.564002718031
Detroit Pistons,Milwaukee Bucks,0.748681938569
Golden State Warriors,Toronto Raptors,0.797553586872
Los Angeles Clippers,New Orleans Pelicans,0.748544822601
Charlotte Hornets,Orlando Magic,0.632442102711
Portland Trail Blazers,Sacramento Kings,0.722716078404
San Antonio Spurs,Phoenix Suns,0.95611609301
Washington Wizards,Indiana Pacers,0.510654216476
Charlotte Hornets,Miami Heat,0.592888759634
Cleveland Cavaliers,Boston Celtics,0.775247739801
